team,maps,kd_diff,kd,rating3,source_type,source_url
GamerLegion,512,-633,0.98,1.04,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
B8,689,1419,1.03,1.06,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
HEROIC,514,709,1.02,1.07,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
BetBoom,671,1471,1.03,1.06,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
BIG,606,1527,1.04,1.07,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
M80,546,3726,1.10,1.10,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
MIBR,537,1787,1.05,1.06,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
SINNERS,925,1376,1.02,1.05,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
NRG,527,3370,1.10,1.10,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
TYLOO,402,1982,1.07,1.08,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
Sharks,753,2739,1.05,1.06,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
Gaimin Gladiators,380,-456,0.98,1.04,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
Liquid,434,778,1.03,1.06,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
Lynn Vision,377,1299,1.05,1.08,team_stats_all_time,https://www.hltv.org/stats/teams?csVersion=CS2
THUNDER dOWNUNDER,111,, ,1.15,team_overview_current_roster,https://www.hltv.org/team/13486/thunder-downunder
FlyQuest,168,, ,1.09,team_overview_current_roster,https://www.hltv.org/team/12774/flyquest
