event_id,stage_id,team,seed,score,region,prediction_cutoff,feature_window_start,feature_window_end,feature_date,label_window_start,label_window_end,sample_weight,format_type,game_version,round_system,source
blast_austin_major_2025_stage1,stage1,HEROIC,1,1552,EU,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,Complexity,2,1433,Americas,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,TYLOO,3,1358,Asia,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,B8,4,1275,EU,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,FlyQuest,5,1213,Asia,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,Lynn Vision,6,1212,Asia,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,NRG,7,1121,Americas,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,BetBoom,8,1102,EU,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,OG,9,1097,EU,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,Chinggis Warriors,10,1087,Asia,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,Imperial,11,1074,Americas,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,Nemiga,12,1045,EU,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,Wildcard,13,1037,Americas,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,Legacy,14,1035,Americas,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,Fluxo,15,999,Americas,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
blast_austin_major_2025_stage1,stage1,Metizport,16,959,EU,2025-06-02,2025-06-02,2025-06-02,2025-06-02,2025-06-03,2025-06-06,1.0,new_32_team_stage1,CS2,swiss_16_3win_3loss,ValveSoftware/counter-strike_regional_standings invitation/2025 standings_global_2025_06_02.md
